seed,generic,current_task,oracle_source,oracle_direct
77000000,14.75,14.75,14.75,14.75
77000001,56.583333333333336,56.916666666666664,22.666666666666668,14.333333333333334
77000002,57.083333333333336,62.083333333333336,18.0,14.416666666666666
77000003,406.9166666666667,406.9166666666667,11.333333333333334,9.416666666666666
77000004,38.666666666666664,38.666666666666664,32.583333333333336,12.833333333333334
77000005,15.916666666666666,15.916666666666666,15.75,15.75
77000007,15.666666666666666,15.666666666666666,15.666666666666666,15.666666666666666
77000008,12.0,12.0,10.0,9.25
77000009,299.75,289.1666666666667,41.25,12.666666666666666
77000010,221.0,221.0,126.25,10.833333333333334
77000011,44.333333333333336,42.75,14.083333333333334,13.25
77000012,14.333333333333334,14.333333333333334,14.333333333333334,14.333333333333334
77000013,23.416666666666668,23.416666666666668,23.25,14.666666666666666
77000014,46.166666666666664,48.916666666666664,21.666666666666668,15.5
77000015,191.41666666666666,191.41666666666666,39.0,13.333333333333334
77000016,13.083333333333334,13.083333333333334,13.083333333333334,13.083333333333334
77000018,13.75,13.75,13.75,13.75
77000019,13.416666666666666,13.416666666666666,13.416666666666666,13.416666666666666
77000020,39.666666666666664,39.666666666666664,8.166666666666666,8.166666666666666
77000021,63.583333333333336,63.583333333333336,18.583333333333332,16.416666666666668
77000022,8.0,8.0,8.0,8.0
77000024,83.66666666666667,83.66666666666667,13.083333333333334,12.583333333333334
77000025,112.16666666666667,110.08333333333333,22.166666666666668,12.666666666666666
77000026,125.91666666666667,125.91666666666667,11.583333333333334,10.333333333333334
77000027,46.75,45.75,16.416666666666668,16.416666666666668
77000028,18.25,18.25,14.416666666666666,11.5
77000029,214.58333333333334,214.58333333333334,15.916666666666666,12.75
77000030,38.166666666666664,38.166666666666664,14.666666666666666,12.916666666666666
77000031,348.25,351.75,24.666666666666668,15.0
77000032,13.916666666666666,13.916666666666666,13.916666666666666,13.916666666666666
77000033,12.75,12.75,12.75,12.75
77000034,14.583333333333334,14.583333333333334,14.583333333333334,14.583333333333334
77000035,386.4166666666667,385.5833333333333,20.833333333333332,14.0
77000036,154.0,156.08333333333334,32.333333333333336,15.0
77000037,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
77000038,526.9166666666666,517.6666666666666,22.166666666666668,11.916666666666666
77000039,176.0,176.41666666666666,20.583333333333332,18.5
77000040,249.33333333333334,249.33333333333334,12.083333333333334,12.0
77000041,161.0,187.16666666666666,21.083333333333332,13.75
77000042,13.833333333333334,13.833333333333334,13.833333333333334,13.833333333333334
77000043,45.083333333333336,45.083333333333336,21.0,14.833333333333334
77000044,242.25,242.25,74.58333333333333,16.666666666666668
77000045,346.8333333333333,346.8333333333333,90.66666666666667,12.833333333333334
77000046,77.83333333333333,75.91666666666667,27.75,11.083333333333334
77000048,165.16666666666666,164.41666666666666,15.916666666666666,11.083333333333334
77000049,372.3333333333333,372.75,45.166666666666664,13.666666666666666
77000050,595.6666666666666,634.1666666666666,13.916666666666666,13.916666666666666
77000051,166.58333333333334,166.66666666666666,31.25,14.25
77000052,49.666666666666664,49.666666666666664,15.416666666666666,15.416666666666666
77000053,105.5,103.33333333333333,19.0,10.083333333333334
77000054,10.5,10.5,10.5,10.5
77000055,18.75,18.75,14.416666666666666,12.666666666666666
77000056,92.91666666666667,94.5,18.833333333333332,9.75
77000057,9.666666666666666,9.666666666666666,9.666666666666666,9.666666666666666
77000058,11.75,11.75,11.75,11.75
77000059,248.5,248.33333333333334,167.16666666666666,12.333333333333334
77000060,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666
77000061,23.583333333333332,23.083333333333332,23.75,13.916666666666666
77000062,12.416666666666666,12.416666666666666,12.416666666666666,12.416666666666666
77000063,14.5,14.5,14.5,14.5
77000065,8.833333333333334,8.833333333333334,8.833333333333334,8.833333333333334
77000066,12.083333333333334,12.083333333333334,12.083333333333334,12.083333333333334
77000068,13.25,13.25,13.25,13.25
77000069,411.3333333333333,411.3333333333333,31.25,11.916666666666666
77000070,19.5,19.5,18.083333333333332,17.5
77000071,155.08333333333334,155.08333333333334,16.916666666666668,13.916666666666666
77000072,207.08333333333334,207.08333333333334,13.75,12.583333333333334
77000073,476.4166666666667,471.8333333333333,83.75,15.0
77000074,64.91666666666667,64.91666666666667,30.416666666666668,13.916666666666666
77000075,13.833333333333334,13.833333333333334,13.833333333333334,13.833333333333334
77000078,22.5,22.5,14.0,13.416666666666666
77000079,12.0,12.0,12.0,12.0
77000080,129.0,128.5,56.583333333333336,13.833333333333334
77000081,220.0,230.91666666666666,17.416666666666668,10.833333333333334
77000082,10.583333333333334,10.583333333333334,10.583333333333334,10.583333333333334
77000083,202.33333333333334,197.25,20.666666666666668,11.75
77000084,325.5833333333333,325.5833333333333,13.5,10.166666666666666
77000085,54.333333333333336,54.5,11.833333333333334,11.166666666666666
77000086,523.0833333333334,523.0833333333334,202.0,12.833333333333334
77000087,425.8333333333333,460.9166666666667,15.75,13.75
77000089,11.5,11.5,11.5,11.5
77000090,198.91666666666666,199.08333333333334,33.5,11.083333333333334
77000091,12.75,12.75,12.75,12.75
77000092,183.91666666666666,176.66666666666666,39.25,14.166666666666666
77000093,9.75,9.75,9.75,9.75
77000094,436.6666666666667,436.6666666666667,112.08333333333333,11.75
77000095,12.0,12.0,12.0,12.0
77000096,13.5,13.166666666666666,10.833333333333334,10.666666666666666
77000097,11.083333333333334,11.083333333333334,11.083333333333334,11.083333333333334
77000098,278.5,278.5,13.833333333333334,11.833333333333334
77000099,9.083333333333334,9.083333333333334,9.083333333333334,9.083333333333334
77000100,9.5,9.5,9.5,9.5
77000102,9.0,9.0,9.0,9.0
77000103,110.41666666666667,112.5,30.833333333333332,13.583333333333334
77000104,85.08333333333333,85.08333333333333,16.916666666666668,11.666666666666666
77000105,242.5,242.5,27.666666666666668,13.833333333333334
77000106,34.75,38.0,18.833333333333332,12.25
77000107,12.75,12.75,12.75,12.75
77000108,79.41666666666667,75.91666666666667,29.083333333333332,14.5
77000109,159.16666666666666,161.91666666666666,27.083333333333332,13.333333333333334
77000110,10.416666666666666,10.416666666666666,10.416666666666666,10.416666666666666
77000112,234.5,245.5,12.583333333333334,11.166666666666666
77000113,12.166666666666666,12.166666666666666,12.166666666666666,12.166666666666666
77000114,119.58333333333333,119.58333333333333,24.666666666666668,12.5
77000115,42.916666666666664,42.916666666666664,21.0,17.25
77000116,238.5,238.5,36.833333333333336,13.75
77000117,177.58333333333334,178.25,26.5,12.333333333333334
77000118,40.25,39.833333333333336,23.666666666666668,23.666666666666668
77000119,84.0,84.0,21.916666666666668,10.416666666666666
77000120,91.33333333333333,83.5,26.75,10.0
77000121,15.75,15.75,15.75,15.75
77000122,106.16666666666667,105.0,26.75,14.416666666666666
77000123,333.0,306.9166666666667,16.75,14.5
77000124,21.416666666666668,34.916666666666664,15.166666666666666,14.333333333333334
77000125,9.583333333333334,9.583333333333334,9.583333333333334,9.583333333333334
77000126,10.75,10.75,10.75,10.75
77000127,12.5,12.5,12.5,12.5
77000129,14.916666666666666,14.916666666666666,14.916666666666666,14.916666666666666
77000130,12.166666666666666,12.166666666666666,12.166666666666666,12.166666666666666
77000131,85.58333333333333,82.83333333333333,14.083333333333334,12.833333333333334
77000133,36.0,19.666666666666668,15.916666666666666,15.25
77000134,10.833333333333334,10.833333333333334,10.833333333333334,10.833333333333334
77000136,16.333333333333332,16.333333333333332,16.333333333333332,16.333333333333332
77000137,186.41666666666666,186.08333333333334,23.916666666666668,11.333333333333334
77000138,26.166666666666668,25.25,24.333333333333332,11.166666666666666
77000139,11.166666666666666,11.166666666666666,11.166666666666666,11.166666666666666
77000140,12.083333333333334,12.083333333333334,12.083333333333334,12.083333333333334
77000141,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
77000142,222.75,223.16666666666666,28.416666666666668,11.5
77000143,64.08333333333333,62.416666666666664,24.25,17.083333333333332
77000144,138.0,137.0,46.416666666666664,17.0
77000145,11.416666666666666,11.416666666666666,11.416666666666666,11.416666666666666
77000146,268.5,267.3333333333333,9.833333333333334,9.75
77000147,410.5833333333333,410.5833333333333,12.25,12.0
77000148,18.75,18.75,18.75,18.75
